Eil. Nr.,"Leidimo rūšis:
1 - verstis mažmenine prekyba nefasuotais naftos produktais, 
2 - verstis didmenine prekyba nefasuotais naftos produktais, 
3 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos laivams, 
4 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos orlaiviams",Leid. Nr.,Leidimas išduotas," 


Leidimo turėtojo rekvizitai:",,,"


Leidimo verstis mažmenine prekyba degalinės adresas",,"


Leidžiama prekiauti šiais nefasuotais naftos produktais:",,,,,,,,,Leidimo,,,,
,,,,juridinio asmens pavadinimas arba fizinio asmens vardas ir pavardė,juridinio asmens kodas,juridinio asmens buveinės adresas ,adreso miesto dalis,adresas,aviacinis benzinas,"variklių benzinas, kurio oktaninis skaičius mažesnis kaip 95","variklių benzinas, kurio oktaninis skaičius ne mažesnis 95, bet mažesnis kaip 98","variklių benzinas, kurio oktaninis kaičius ne mažesnis kaip 98",Reaktyviniai degalai,"gazoliai - dyzeliniai degalai, šildymui skirti gazoliai, kiti gazoliai",skystasis kuras,"suskystintos dujos, skirtos autotransporto priemonėms",biodyzelinas,patikslinimo datos,papildymo datos,galiojimo sustabdymo data (laikotarpis),galiojimo sustabdymo panaikinimo data,galiojimo panaikinimo data (skelbiama 6 mėnesius)
63,1,2/4,2006 05 05,UAB „Neste Lietuva“,211472890,"Vilnius, P. Lukšio g. 32 / J. Kubiliaus g. 12",Palemonas,"Ateities pl. 50B, Kaunas",,1,1,1,,1,,,,,,,,
64,1,92,2015 06 16,UAB „Nestelita“,303981390,"Kauno m. sav., Kauno m., J. Borutos g. 4-29",Dainava,"Birželio 23-iosios g. 23A, Kaunas",,,,,,,,1,,,,,,
65,1,92/1,2015 06 16,UAB „Nestelita“,303981390,"Kauno m. sav., Kauno m., J. Borutos g. 4-29",Gričiupis,"Taikos pr. 80A, Kaunas",,,,,,,,1,,,,,,
66,2,27-10020 D,2008 05 09,UAB „Petrola LT“,301295617,"Kauno m. sav., Kauno m., Seniavos pl. 8E",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,1,1,1,1,,1,1,,,2018 04 19 - 2018 04 26,,2018 04 30
67,2,87,2015 01 08,UAB „PROLINIJA“,302418357,"Kauno m. sav., Kauno m., Raudondvario pl. 288A-30",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,2017 12 08 - 2018 01 06,,2018 01 09
68,2,100,2016 03 17,UAB „Proserva“,304071873,"Kauno m. sav., Kauno m., Undinės g. 3",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,2018 02 20 - 2018 03 19,,2018 04 10
69,2,107,2017 04 19,UAB „Romijus“,302823996,"Kauno m. sav., Kauno m., Islandijos pl. 95-57",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,1,1,1,,1,,1,1,,,2018 04 19 - 2018 04 26,,2018 04 30
70,1,59,2005 06 27,UAB „Rotada“,165812922,"Marijampolės sav., Pietarių k.",Naujasodis,"Elektrėnų g. 7D, Kaunas",,1,1,1,,1,,1,1,,,,,
71,1,15,2001 04 18,UAB „Saurida“,266916280,"Mažeikiai, Montuotojų g. 8",Naujasodis,V. Krėvės pr. 116,,1,1,,,1,,1,,"2002 04 15, 2003 03 13, 2004 12 24",2003 01 24,2018 03 14 - 2018 04 13,,
72,1,73,2013 04 12,UAB „SKULAS“,145316477,"Šiaulių m. sav., Šiaulių m., Draugystės pr. 21-8",Eiguliai,"Ašigalio 1A, Kaunas",,1,1,1,,1,,1,1,,,,,
73,1,73/2,2013 04 12,UAB „SKULAS“,145316477,"Šiaulių m. sav., Šiaulių m., Draugystės pr. 21-8",Marvelė,"Marvelės g. 106D, Kaunas",,1,1,1,,1,,1,1,,,,,
74,2,94,2015 08 24,UAB „Tauritus“,303976443,"Kauno m. sav., Kauno m., J. Basanavičiaus al. 56-45",PREKYBA VISOJE LIETUVOJE,"Pramonės pr. 38, Jonava",,,,,,1,,,,,,,,
75,1,49,2004 02 27,UAB „Tomega“,166796392,"Mažeikiai, Montuotojų g. 12",Vilijampolė,Betygalos g. 8,,1,1,1,,1,,1,1,"2005 03 18, 2010 04 23",,,,
76,1,49/1,2004 11 12,UAB „Tomega“,166796392,"Mažeikiai, Montuotojų g. 12",Vilijampolė,"Panerių g. 222, Kaunas",,,,,,,,1,,,,,,
77,1,49/2,2010 05 27,UAB „Tomega“,166796392,"Mažeikiai, Montuotojų g. 12",Veršvai,"Brastos g. 11, Kaunas",,,,,,,,1,,,,,,
78,1,104,2016 06 13,UAB „Top B2B“,301880535,"Kauno m. sav., Kauno m., Kovo 11-osios g. 31-67",Aukštieji Šančiai,"Tunelio g. 26, Kaunas",,,,,,,,1,,,,,,
79,2,106,2016 12 20,UAB „TOP OILS“,304430721,"Kauno m. sav., Kauno m., Savanorių pr. 192",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,,,,,2018 04 19 - 2018 04 26,,2018 04 30
80,2,76,2013 10 28,UAB „Transda“,303141557,"Kauno m. sav., Kauno m., Islandijos pl. 95-57",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams ,1,1,1,1,1,1,,1,1,,2013 12 18,2018 04 19 - 2018 04 26,,2018 04 30
81,1,31/1,2001 12 10,UAB „Tubus“,135570484,"Kaunas, Vandžiogalos g. 86A",Sargėnai,Vandžiogalos g. 86A,,1,1,,,1,,1,,"2003 03 17, 2005 03 14",,,,
82,1,31/2,2001 12 10,UAB „Tubus“,135570484,"Kaunas, Vandžiogalos g. 86A",Petrašiūnai,T. Masiulio g. 16A,,1,1,,,1,,1,,"2003 03 17, 2005 03 14",,,,
83,1,99,2016 02 24,UAB „VABALIS“,302831690,"Utenos r. sav., Utenos m., Aukštaičių g. 8",Naujasodis,"Pramonės pr. 6A, Kaunas",,,,,,,,1,,,,,,
84,2,95,2015 08 24,UAB „Verslo garantas“,303118640,"Kauno m. sav., Kauno m., Europos pr. 122",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,,,,,,1,,1,1,,,2018 04 19 - 2018 04 26,,2018 04 30
85,1,89,2015 02 12,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Naujasodis,"Biruliškių g. 18A, Kaunas",,1,1,1,,1,,1,1,"2015 09 16, 2016 09 30",,,,
86,1,89/1,2015 02 18,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Smėliai,"Baltijos g. 90B, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
87,1,89/2,2015 02 19,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Vaišvydava,"Didžioji g. 84, Kaunas",,1,1,1,,1,,1,1,"2016 09 30, 2018 04 10",,,,
88,1,89/3,2015 04 13,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Žemieji Šančiai,"A. Juozapavičiaus pr. 90, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
89,1,89/4,2015 04 14,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Smėliai,"Miežėnų g. 18, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
90,1,89/5,2015 04 27,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Naujasodis,"Ateities pl. 105, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
91,1,89/6,2015 05 28,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Birutė,"Veiverių g. 117, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
92,1,89/7,2015 05 28,UAB „Viada LT“,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",Rokai,"Marijampolės pl. 29, Kaunas",,1,1,1,,1,,1,1,2016 09 30,,,,
