Lic. (leid.) Nr.,Licencijos (leidimo) turėtojo rekvizitai:,,Prekybos vieta,Licencijos (leidimo) rūšis,Galiojimo sustabdymo laikotarpis,
,pavadinimas,kodas,,,nuo,iki
770,UAB „Langija“,134729186,"baras, Raudondvario pl. 147",licencija verstis mažmenine prekyba tabako gaminiais,2017 07 12,
63/1,UAB „Langija“,134729186,"baras, Raudondvario pl. 147",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 07 12,
2073,Lietuvos ir Airijos uždaroji akcinė bendrovė „ABROMIKA“,134775568,"degalinė, Marvelės g. 132, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 05 20,
942/7,G. Muzikevičiaus firma,135199933,"kavinė (1F1p), R. Kalantos g. 48, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
2022,G. Kavaliauskienės firma „Egreka“,135683140,"kavinė, Taikos pr. 13, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
1424/1,UAB „Laiklita“ ir Ko,135898310,"baras, Baltijos g. 5A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
1424/2,UAB „Laiklita“ ir Ko,135898310,"specializuotas parduotuvės skyrius, Baltijos g. 5A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
1430,UAB „Onrama“,135910150,"kavinė-baras, P. Lukšio g. 7A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/5,UAB „Onrama“,135910150,"specializuotas parduotuvės skyrius, R. Kalantos g. 82, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/6,Uždaroji akcinė bendrovė „Onrama“,135910150,"specializuota alkoholinių gėrimų parduotuvė, Vandžiogalos g. 11, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/7,Uždaroji akcinė bendrovė „Onrama“,135910150,"kavinė-baras, R. Kalantos g. 82, Kaunas","licencija verstis mažmenine prekyba alkoholiniais gėrimais, kurių tūrinė etilo alkoholio koncentracija nevirija 22 procentų",2017 08 24,
1430/9,Uždaroji akcinė bendrovė „Onrama“,135910150,"specializuota alkoholinių gėrimų prekybos įmonė, 
Kovo 11-osios g. 20 / Chemijos g. 2, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/10,Uždaroji akcinė bendrovė „Onrama“,135910150,"kavinė, R. Kalantos g. 82, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/11,Uždaroji akcinė bendrovė „Onrama“,135910150,"baras, Baltijos g. 90A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/12,Uždaroji akcinė bendrovė „Onrama“,135910150,"baras, Partizanų g. 82, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/13,Uždaroji akcinė bendrovė „Onrama“,135910150,"baras, Studentų g. 4, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/14,Uždaroji akcinė bendrovė „Onrama“,135910150,"baras, Tilto g. 6, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/15,Uždaroji akcinė bendrovė „Onrama“,135910150,"kavinė, V. Krėvės pr. 104A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/16,Uždaroji akcinė bendrovė „Onrama“,135910150,"kavinė, Savanorių pr. 441, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1430/1,UAB „Onrama“,135910150,"specializuota parduotuvė I a., Baltijos g. 90A ",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 09 06,
1430/2,UAB „Onrama“,135910150,"specializuotas parduotuvės skyrius, Studentų g. 4",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 09 06,
27-9988 D,Uždaroji akcinė bendrovė „Legatina“,136034272,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,leidimas verstis didmenine prekyba nefasuotais naftos produktais,2018 04 18,2019 04 19
1499/1,Uždaroji akcinė bendrovė „ROTADA“,165812922,"degalinė, Ateities pl. 40B, Kaunas",licencija verstis mažmenine prekyba tabako gaminiais,2016 03 17,
2319,Uždaroji akcinė bendrovė „ROTADA“,165812922,"degalinė, Ateities pl. 40B, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 03 23,
1691,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,175781368,"degalinė, R. Kalantos g. 159, Kaunas",licencija verstis mažmenine prekyba tabako gaminiais,2017 07 31,
1996,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,175781368,"degalinė, R. Kalantos g. 159, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 07 31,
66,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,175781368,"R. Kalantos g. 159, Kaunas",leidimas verstis mažmenine prekyba nefasuotais naftos produktais,2017 07 31,  
25M,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,175781368,,leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,2017 07 31,  
1570/1,UAB „Žalvario amžius“,183224269,"baras „Sambaris“, Vilniaus g. 34, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 10,
886/18,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Karaliaus Mindaugo pr. 34A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/19,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Žemaičių pl. 19",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/20,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Veiverių g. 49A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/21,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Raudondvario pl. 107A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/22,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Savanorių pr. 321",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/23,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Savanorių pr. 402A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/24,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Pramonės pr. 18",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/25,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Taikos pr. 52A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/26,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Savanorių pr. 404B",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/27,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Tvirtovės al. 33A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/28,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Sukilėlių pr. 120",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/29,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, K. Baršausko g. 57",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/30,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Jonavos g. 38",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/31,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Briedžių takas 6B",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/32,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Vakarinis aplinkkelis 10, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
886/33,"Statoil Fuel & Retail Lietuva, UAB",211454910,"degalinė, Islandijos pl. 61C, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 04 13,
1422/1,UAB „Saurida“,266916280,"degalinė, V. Krėvės pr. 116",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 01 06,
1880/4,UAB „Nibrė“,300970588,"kavinė, Vaidoto g. 141, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
1880/2,UAB „Nibrė“,300970588,"baras, Šv. Gertrūdos g. 10, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1880/5,UAB „Nibrė“,300970588,"kavinė, Ašigalio g. 3A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
1716,UAB „Prisma LT“,301532685,"parduotuvė, Pramonės pr. 6, Kaunas",licencija verstis mažmenine prekyba tabako gaminiais,2017 06 06,
1716/1,UAB „Prisma LT“,301532685,"prekybos centras, Jonavos g. 60, Kaunas",licencija verstis mažmenine prekyba tabako gaminiais,2017 06 06,
2046,UAB „Prisma LT“,301532685,"specializuotas alkoholinių gėrimų prekybos skyrius, 
Pramonės pr. 6, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 06 07,
2046/1,UAB „Prisma LT“,301532685,"kavinė, Jonavos g. 60, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 06 07,
2046/2,UAB „Prisma LT“,301532685,"prekybos centro alkoholinių gėrimų skyrius, Jonavos g. 60, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 06 07,
2024,UAB „SANDWICH BAR“,302477028,"kavinė, Savanorių pr. 168, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 05 11,
2065/1,UAB „Alaus kaimynai“,302575668,"užkandinė, Savanorių pr. 168, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 05 11,
2182,UAB „MARGITA“,302726433,"baras, Baltijos g. 90A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
2180/2,Raimondo Klimo IĮ,302738745,"kavinė, Vasario 16-osios g. 9, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 07 10,
2207/1,UAB „Kristroma“,302883413,"kavinė, A. Juozapavičiaus pr. 49, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
2228,MB „Miglutė“,302913956,"kavinė, Ukmergės g. 34A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 10 17,
2261,UAB „INŽOLĖ“,303042438,"kavinė, Birštono g. 18A, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 02,
2523,UAB „Juma LT“,303132095,"kavinė, Rytinės galerijos 18 salė, Pramonės pr. 16, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 03 29,
2453,UAB „Sušių namai“,304103965,"kavinė, Vilniaus g. 14-4, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 05 24,
