Eil. Nr.,Leidimo turėtojo duomenys:,,,,Leidimo rūšis,Leidimo Nr.,Leidimo išdavimo data,"Dujų, kurių prekyba leidžiama verstis, pavadinimai ir kodai pagal Kombinuotąją nomenklatūrą (leidimuose verstis didmenine prekyba dujomis)","Prekybos vietų (sandėlių) adresai
(mažmeninės prekybos leidimuose)",Leidimo patikslinimo data,Leidimo papildymo data,Leidimo galiojimo sustabdymo data,Leidimo galiojimo sustabdymo panaikinimo data,Leidimo dublikato išdavimo data,Leidimo galiojimo panaikinimo data (skelbiama ne mažiau kaip 6 mėn.)
,"juridinio asmens – pavadinimas, fizinio asmens – vardas ir pavardė",,juridinio asmens kodas,juridinio asmens buveinė,,,,,,,,,,,
24,UŽDAROJI AKCINĖ BENDROVĖ „APSAGA“,uždaroji akcinė bendrovė,175781368,"Šiaulių r. sav., Toliočių k.",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,25M,5/11/2011,,R. Kalantos g. 159 (sandėlis - metalinis konteineris) ,,,7/31/2017,,,
25,Uždaroji akcinė bendrovė „Jozita“,uždaroji akcinė bendrovė,176618114,"Šilalės r. sav., Šolių k., Pietinio Kelio g. 9",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,29M,12/5/2014,,"Kuršių g. 13A, Jonavos g. 51, Jonavos g. 51",,,,,,
26,UAB „Viada LT“,uždaroji akcinė bendrovė,178715423,"Vilniaus r. sav., Užubalių k., Senasis Ukmergės kelias 4",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,30M,3/26/2015,,"Didžioji g. 84, A. Juozapavičiaus pr. 90 (įrašytas 2015-04-27), Biruliškių g. 18A (įrašytas 2015-04-27), Marijampolės pl. 29 (įrašytas 2015-06-02), Raudondvario pl. 288 (įrašytas 2016-09-13)",9/9/2016,"2015-04-27, 2015-06-02, 2015-09-16, 2016-09-13, 2018-04-10",,,,
27,UAB „Madalva“,uždaroji akcinė bendrovė,179744787,"Tauragė, Pramonės g. 4A",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,15M,4/20/2007,,"Vaišvydo g. 9, Kauno miesto savivaldybės teritorija",,,,,,
28,Uždaroji akcinė bendrovė „Gruinė“,uždaroji akcinė bendrovė,234326460,"Kaunas, Kalvarijos g. 7",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,3D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
29,Uždaroji akcinė bendrovė „Gruinė“,uždaroji akcinė bendrovė,234326460,"Kaunas, Kalvarijos g. 7",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,3M,3/31/2007,,Kauno miesto savivaldybės teritorija,,,,,,
30,Uždaroji akcinė bendrovė „Cauda“,uždaroji akcinė bendrovė,234857660,"Kaunas, Partizanų g. 42A-33",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,7M,3/31/2007,,"Ašigalio g. 20 (išbrauktas 2008-02-15), Marvelės g. (išbrauktas 2008-03-01), Kauno miesto savivaldybės teritorija, R. Kalantos g. 27 (įrašytas 2015-04-14), Žemaičių pl. 26 (įrašytas 2017-02-27)",,"2008-02-15, 2008-03-01, 2015-04-14, 2017-02-27",,,,
31,Uždaroji akcinė bendrovė „Cauda“,uždaroji akcinė bendrovė,234857660,"Kaunas, Partizanų g. 42A-33",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,6D,3/31/2007,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, skirtas kitiems tikslams (2711 12 97); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
32,Uždaroji akcinė bendrovė „Saurida“,uždaroji akcinė bendrovė,266916280,"Mažeikiai, Montuotojų g. 8",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,19M,5/18/2007,,V. Krėvės pr. 116A,,,,,,
33,UAB „SDR dujos“,uždaroji akcinė bendrovė,300603108,"Kaunas, Šiaurės pr. 87-40",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,16M,4/20/2007,,"A. Juozapavičiaus pr. 3C (išbrauktas 2007-09-21), Elektrėnų g. 7B (įrašytas 2007-09-21)",,9/21/2007,,,,
34,UAB „Ekoil“,uždaroji akcinė bendrovė,301541022,"Kaunas, S. Žukausko g. 35-29",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,10D,2/19/2010,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
35,Uždaroji akcinė bendrovė „Acetilenas plius“,uždaroji akcinė bendrovė,302328963,"Kaunas, Technikos g. 14",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,9D,7/15/2009,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
36,UAB „VABALIS“,uždaroji akcinė bendrovė,302831690,"Kauno m. sav., Kauno m., Vytauto pr. 32",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,32M,3/25/2016,,Pramonės pr. 6A,,,,,,
37,UAB „Transkasta“,uždaroji akcinė bendrovė,303201125,"Kauno m. sav., Kauno m., S. Žukausko g. 6-40",leidimas verstis didmenine prekyba suskystintomis naftos dujomis,12D,3/13/2014,"propanas, kurio grynumas ne mažesnis kaip 99 %, skirtas naudoti kaip variklių degalus, šildymo kurą (2711 12 11); propanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 99 %, skirtas kitiems tikslams (2711 12 94); propanas, skirtas kitiems tikslams (2711 12 97); butanas, kurio grynumas didesnis kaip 90 %, bet mažesnis kaip 95 %, skirtas kitiems tikslams (2711 13 91); suskystintas butanas, skirtas kitiems tikslams (2711 13 97); etilenas (etenas), propenas, butenas ir butadienas (2711 14 00); kiti suskystinti angliavandeniliai (2711 19 00).",,,,,,,
38,UAB „Gyteksa“,uždaroji akcinė bendrovė,304234904,"Kauno m. sav., Kauno m., Partizanų g. 61-806",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,33M,5/25/2016,,Kuršių g. 1,,,,,,
39,UAB „Gaschema LT“,uždaroji akcinė bendrovė,304434538,"Jonavos r. sav., Jonalaukio k. 3",leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,35M,6/16/2017,,Elektrėnų g. 9D,,,,,,
40,Rolandas Krivoščenko,,,,leidimas verstis mažmenine prekyba suskystintomis naftos dujomis,22M,3/14/2011,,"Kauno miesto savivaldybės teritorija (sandėlis - Vaidatinių k., Tauragės rajone.) ",,,,,,
