Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
Uždaroji akcinė bendrovė „AGA“,110178963,"Didlaukio g. 69, 08300, Vilnius",29-24-1259,6/13/2018,6/12/2019,Raudondvario pl. 141,Veršvai,Iškaba: „Aga  Techninių dujų centras“,70-13-600,1.24,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1353,10/9/2013,10/9/2018,V. Krėvės pr. 97,Eiguliai,Iškaba: „IKI  Mes mylim maistą (3 pusių)  4 vnt. su info plakatais  Lipdukai ant langų (4 vnt.) “,70-13-693,"17,76",
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1354,10/9/2013,10/9/2018,V. Krėvės pr. 13,Eiguliai,"Iškaba: „IKI  cento  IKI Cento  Mes mylim maistą ir žemas kainas (25,41 kv. m)  3 vnt. su info plakatais  “",70-13-1150,31.38,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1355,10/9/2013,10/8/2018,Tvirtovės al. 12A,Eiguliai,Iškaba: „IKI  (3 pusių)  IKI Šviesdėžė 4 vnt. Info plakatai  Lipdukai ant langų (4 vnt.) “,70-13-1174,31.23,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1356,10/9/2013,10/8/2018,Savanorių pr. 214A,Dainava,Iškaba: „IKI  (3 pusių)  IKI Šviesdėžė 4 vnt. Info plakatai  Lipdukai ant langų (4 vnt.) “,70-13-711,67.76,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1557,10/31/2013,10/30/2018,V. Krėvės pr. 57,Dainava,Iškaba: „IKI  (4 pusių)  IKI Šviesdėžė 4 vnt. Info plakatai  Lipdukai ant langų (4 vnt.) “,70-13-694,108.178,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1558,10/31/2013,10/30/2018,Rietavo g. 11   ,Milikoniai,Iškaba: „IKI CENTO  Mes mylim maistą ir žemas kainas  Info plakatai  Lipdukai ant langų “,70-13-1323,32.72,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1741,11/25/2013,11/24/2018,Partizanų g. 44A,Dainava,Iškaba: „IKI Cento Mes mylim maistą (7.45)  Info plakatai (4 vnt. po 2.9)  Lipdukai ant durų (0.189)“,70-13-1384,10.54,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1742,11/25/2013,11/24/2018,Didžioji g. 98,Vaišvydava,Iškaba: „IKI (24.14)  IKI (23.26)  Info plakatai (4 vnt. po 2.0)  Lipdukai ant durų ir langų  Darbo laikas (1.5)“,70-13-1488,51,
Uždaroji akcinė bendrovė „PALINK“ ,110193723,"Lentvario g. 33, 02241, Vilnius",29-24-1908,12/12/2013,11/14/2018,Saulės g. 55,Vaišvydava,Iškaba: „IKI Cento Mes mylim maistą ir žemas kainas (12.92)  Info plakatai (4 vnt. po 2.42)  Lipdukai ant durų IKI Cento (0.26) “,70-13-1618,15.6,
